Score_Var,Group_Var,Test,Statistique,p_value,Significatif
Perception_Actu_Specialite,Sexe,Mann-Whitney U,2415.5,0.92,Non
Perception_Actu_Specialite,Tranche_Age,Kruskal-Wallis,9.70871515488546,0.0456,Oui
Perception_Actu_Specialite,Fonction,Kruskal-Wallis,12.444356980476039,0.492,Non
Perception_Actu_Specialite,Type_Structure,Kruskal-Wallis,10.779595313049748,0.462,Non
Perception_Fut_Specialite,Sexe,Mann-Whitney U,2724,0.235,Non
Perception_Fut_Specialite,Tranche_Age,Kruskal-Wallis,7.41390422461002,0.116,Non
Perception_Fut_Specialite,Fonction,Kruskal-Wallis,11.732181403626749,0.55,Non
Perception_Fut_Specialite,Type_Structure,Kruskal-Wallis,8.01636927003222,0.712,Non
Perception_Actu_Exercice,Sexe,Mann-Whitney U,2482.5,0.86,Non
Perception_Actu_Exercice,Tranche_Age,Kruskal-Wallis,12.780621473275891,0.0124,Oui
Perception_Actu_Exercice,Fonction,Kruskal-Wallis,20.693775633768652,0.0792,Non
Perception_Actu_Exercice,Type_Structure,Kruskal-Wallis,8.970845467572492,0.625,Non
Perception_Fut_Exercice,Sexe,Mann-Whitney U,2639,0.406,Non
Perception_Fut_Exercice,Tranche_Age,Kruskal-Wallis,8.807347078371409,0.0661,Non
Perception_Fut_Exercice,Fonction,Kruskal-Wallis,21.74645858816993,0.0594,Non
Perception_Fut_Exercice,Type_Structure,Kruskal-Wallis,8.406382490492168,0.677,Non
